#{"t_start": 1754990797.7947614, "env_id": "None"}
r,l,t
-451.273,44,35.195752
1108.0706,60,35.247478
-1096.3107,16,35.285585
1715.6943,60,35.296141
-99.734375,55,35.333764
724.71643,60,35.344795
1836.3533,60,35.390887
-2859.8337,3,35.409425
584.1065,60,35.420445
297.84006,60,35.441524
-539.1533,18,35.517218
-1906.0605,3,35.534274
708.9348,60,35.581418
-268.23352,51,35.581418
-1438.7242,9,35.587461
887.5534,60,35.621058
866.2785,60,35.670177
1340.2964,60,35.68522
2204.7664,60,35.745867
-464.84967,30,35.751868
-1037.29,31,35.756899
1590.1814,60,35.778455
-666.7466,21,35.866759
-1101.2097,1,35.873263
528.5584,60,35.920289
516.2984,60,35.954484
940.5943,60,35.998571
1645.6132,60,36.009583
-700.88617,30,36.041169
-607.88654,22,36.041169
-159.34985,56,36.051199
-1561.3024,11,36.061225
547.58636,60,36.079278
606.2864,60,36.106351
1798.7898,60,36.280361
-719.89355,35,36.297523
120.737,47,36.317091
-1133.428,9,36.327114
761.865,60,36.33814
2654.7183,60,36.366205
772.0542,60,36.367205
739.0638,60,36.377238
876.2664,60,36.402814
-3661.0925,7,36.402814
-1135.742,8,36.417363
-844.06793,8,36.458498
-2370.2644,6,36.491574
-707.8921,13,36.559281
647.55756,60,36.619498
1296.5162,60,36.637657
444.83893,60,36.646671
1168.3109,60,36.657687
840.99133,60,36.681721
-741.0274,14,36.70778
-639.3105,13,36.712282
278.0351,60,36.718327
736.3437,60,36.718327
-2185.0635,2,36.725362
-1289.939,23,36.846255
641.39215,60,36.879415
1587.5172,60,36.936147
1185.3303,60,36.977277
705.74225,60,37.000344
1956.4535,60,37.029397
765.9154,60,37.041464
1642.4939,60,37.047505
-1012.69025,12,37.095616
731.19977,60,37.165352
-191.08862,44,37.171348
593.1575,60,37.204467
-1679.0302,17,37.266639
-508.73065,54,37.30027
-1696.3945,18,37.306293
782.7266,60,37.306293
-1324.2443,3,37.31683
-1418.0526,11,37.369468
569.742,60,37.375507
766.4414,60,37.383017
-1113.9214,7,37.416133
3782.212,60,37.431163
-1480.6189,2,37.447221
-2418.5244,5,37.447221
-1204.3728,10,37.503776
2114.1821,60,37.50979
-927.06805,24,37.521333
-1889.2318,4,37.528355
-1323.0265,2,37.534405
-1467.7153,5,37.540404
666.8428,60,37.606608
658.7046,60,37.644399
2205.446,60,37.655447
914.57544,60,37.707588
624.93866,60,37.77279
976.4408,60,37.849559
1400.8544,60,37.855581
1768.4908,60,37.862579
-1085.0105,6,37.893149
-494.88916,36,37.905693
-34.864197,47,37.905693
690.29,60,37.941326
-2236.7373,9,37.94743
-1513.2103,20,37.96751
608.0366,60,37.993563
-1336.411,11,38.008598
-1086.1686,1,38.012102
-912.1021,16,38.078317
530.6675,60,38.111385
694.36505,60,38.196639
737.8707,60,38.232698
1361.0771,60,38.232698
738.9134,60,38.264782
2675.3743,60,38.293325
-1582.2079,6,38.320891
2097.0156,60,38.336442
-726.0463,5,38.355524
2324.7058,60,38.403656
694.06464,60,38.439247
727.7522,52,38.484517
1071.5293,60,38.571421
1424.7559,60,38.571421
1926.8916,60,38.607604
-1926.8984,18,38.665716
1019.57605,60,38.671713
1075.9303,60,38.68677
-1399.2509,3,38.703814
501.70087,60,38.73843
-1901.176,18,38.764566
761.85724,60,38.775113
-1157.7938,15,38.789143
51.291553,60,38.819215
-1382.2397,8,38.837272
-212.24133,46,38.855349
-1698.425,7,38.871378
-2207.8389,14,38.898501
655.4213,60,41.025182
-871.7442,5,41.025182
-1094.867,9,41.030182
-1712.499,2,41.036212
733.56586,60,41.125548
977.1277,60,41.188244
451.6213,60,41.217511
-2783.0437,6,41.224528
832.41833,60,41.225527
-426.2002,37,41.23153
-50.361572,54,41.316241
653.14154,60,41.352846
894.85693,60,41.363442
-191.60254,41,41.45522
730.58466,60,41.461219
1493.9008,60,41.561623
576.68164,60,41.567651
985.2428,60,41.574666
-650.9121,38,41.574666
1810.2977,60,41.661443
1234.3289,60,41.710572
-629.58466,25,41.717116
-740.7856,30,41.748203
670.3849,60,41.804364
918.7805,60,41.81037
276.1283,47,41.841489
724.7256,60,41.903138
-1671.9435,20,41.919694
-865.47406,5,41.931722
-1096.4484,7,41.960785
1145.3524,60,41.996668
-3328.8767,3,42.011693
1158.6873,60,42.043265
1134.0406,60,42.049787
-133.79645,39,42.049787
672.31274,60,42.08186
-829.1939,6,42.086878
527.11536,60,42.137551
-1386.0565,17,42.178633
-761.6117,15,42.217754
1805.3802,60,42.263877
1014.5484,60,42.294298
-316.219,44,42.299505
1434.5559,60,42.351658
720.8886,60,42.384744
-520.4175,38,42.393759
896.4303,60,42.427852
-798.9582,7,42.427852
1376.8395,60,42.565863
709.1215,60,42.607485
-526.0453,33,42.617512
683.42487,60,42.634548
396.31805,60,42.641553
972.1235,60,42.693664
-1785.3,12,42.704682
673.1349,60,42.734744
-1055.6677,33,42.750322
-2259.086,10,42.762866
1354.4437,60,42.76939
-352.3036,35,42.80953
-590.14197,34,42.876677
-1931.1313,23,42.883187
-1448.1012,8,42.925797
941.90094,60,42.936815
-1458.4932,13,42.953357
-434.414,36,42.96387
2043.1323,60,42.973389
-3062.3545,8,43.008542
-628.924,18,43.053658
1316.8468,60,43.063682
-459.79712,25,43.069194
-2086.7334,3,43.081221
2536.3176,60,43.081221
485.2041,60,43.141383
-1736.5532,17,43.165488
-1858.4158,17,43.176531
-582.6909,22,43.263744
1502.0131,60,43.276196
-846.6742,1,43.280196
-2141.0505,4,43.300245
1008.5676,60,43.307275
532.4741,60,43.339862
2007.088,60,43.386537
-377.7876,39,43.393041
683.963,60,43.415124
1171.5789,60,43.495442
538.6825,60,43.59277
1061.8947,60,43.630385
624.9494,60,43.637424
567.6783,60,43.670546
739.6899,60,43.716195
1036.4512,60,43.7227
1255.5592,60,43.74627
-1534.6273,2,43.7583
521.2946,60,43.82356
724.71155,60,43.919338
-1025.0835,2,43.935484
437.71127,60,43.963542
833.16345,60,43.969553
-441.60953,50,43.994613
1683.2555,60,44.000617
-1759.0775,3,44.01769
-3373.7522,14,44.042768
699.55505,60,44.042768
-1054.8915,25,44.064332
504.5662,60,44.07638
-2979.9683,8,44.083408
-804.60425,14,44.115527
0.72094727,57,44.132963
-679.6216,15,44.163593
-1591.1327,1,44.169603
-2192.2622,9,44.221242
-1470.5254,10,44.26885
910.8003,60,44.293423
1372.5936,60,44.328053
199.81653,60,44.345107
-1467.2537,17,44.36365
-637.68243,8,44.390213
1281.1748,60,44.401245
1338.7657,60,44.418826
1064.1522,60,44.451401
2057.1023,60,44.464481
1340.4827,60,44.667612
543.4426,60,44.703675
-394.3462,50,44.726235
881.9483,60,44.749307
980.00653,60,44.770345
-16.458252,60,44.797442
-846.9143,2,44.808477
681.61066,60,44.829529
532.94476,60,44.847571
-834.21204,7,44.847571
-508.61005,20,44.955879
-184.61707,29,44.989455
914.2885,60,45.000499
591.0874,60,45.035125
1166.7133,60,45.057184
1838.8761,60,45.079245
429.269,60,45.101315
-1544.4146,3,45.116361
-1770.8195,14,45.130895
-777.70465,4,45.141406
-972.7731,27,45.15295
690.4625,60,45.181072
-732.1308,14,45.21115
2287.681,60,45.293349
-1002.584,4,45.31641
979.782,60,45.327444
662.3463,60,45.371638
836.9866,60,45.41872
-482.5125,23,45.457808
-224.18616,56,45.467835
-3083.537,18,45.478856
514.8759,60,45.48487
-2123.287,6,45.506439
1266.002,60,45.524514
-1064.1805,1,45.531522
955.3013,60,45.559738
-2229.9468,10,45.593307
-939.6145,22,45.59381
-416.74948,32,45.609834
808.73645,60,45.666455
147.92908,60,45.817467
1021.24744,60,45.823484
886.30414,60,45.846554
63.354065,34,45.852555
609.09656,60,45.895643
-2198.2217,10,45.901643
562.7453,60,45.924484
1436.9093,60,45.924484
-1078.8882,2,45.936515
698.0748,60,45.942515
-1897.1022,7,45.976167
-2296.7559,5,45.997208
-405.69693,37,46.097451
568.9881,60,46.150119
526.2549,60,46.156139
-3006.1577,2,46.167165
963.38715,60,46.185232
1036.4775,60,46.233887
-898.35547,1,46.239904
584.8605,60,46.259444
1330.325,60,46.273557
516.9174,60,46.331241
-1247.3135,1,46.338272
-1069.2819,15,46.416537
1043.6625,60,46.428074
753.6874,60,46.480187
380.31335,60,46.496229
1106.0972,60,46.514781
1966.9889,60,46.568422
995.2958,60,46.589485
1286.095,60,46.606541
-1638.8468,5,46.63615
2591.9448,60,46.759562
1235.0359,60,46.771588
-233.9043,55,46.811683
917.01385,60,46.822726
650.87897,60,46.856354
-1087.0886,19,46.878429
-925.0708,16,46.899503
951.113,60,46.915534
1161.3035,60,46.932638
778.64844,60,46.979194
-490.45782,25,47.025787
-404.62732,37,47.06788
840.6052,60,47.099792
1492.0787,60,47.161487
288.82288,60,47.231159
672.55725,60,47.246215
1315.0603,60,47.262754
-1040.2184,5,47.274302
543.8729,60,47.308395
857.3434,60,47.353027
409.37363,60,47.39163
1008.6514,60,47.424232
533.3969,60,47.482949
-379.18555,49,47.500521
-2339.0767,2,47.513053
508.45963,60,47.591265
-949.5538,15,47.597305
1533.712,60,47.604322
586.29407,60,47.63742
-1155.4905,1,47.643448
-893.5483,49,47.664579
424.59293,60,47.683629
-412.77478,37,47.694613
737.4033,60,47.761157
934.1825,60,47.987608
515.958,60,47.993625
626.3089,60,47.999634
-66.3421,47,48.014677
-179.98663,59,48.031242
1247.8097,60,48.06131
29.777893,46,48.081378
893.4216,60,48.081378
-648.74963,16,48.085421
-1517.2062,16,48.103483
-884.3815,13,48.152632
261.19928,39,48.204794
1017.13464,60,48.327257
-3607.9602,3,48.343805
241.84668,59,48.355355
-82.509766,58,48.381486
500.71332,60,48.407566
1721.801,60,48.407566
475.7995,60,48.437186
-826.4334,6,48.471268
829.2084,60,48.490335
-542.69037,26,48.495358
913.6568,60,48.537531
155.40613,29,48.57362
681.7087,60,48.695568
1593.8434,60,48.715233
810.7029,60,48.738311
-1429.7103,10,48.768401
-3150.7156,8,48.785541
1891.1752,60,48.803056
-782.31525,7,48.81366
-204.51343,60,48.82524
851.8963,60,48.831241
-1209.0372,12,48.859318
54.090942,58,48.863831
-1236.69,2,48.870346
-705.8037,11,48.876381
2630.0542,60,48.910537
-3146.6401,8,48.910537
416.9659,60,49.037396
772.491,60,49.14627
-1762.6243,2,49.158302
368.93683,60,49.164902
1296.3198,60,49.171329
-1479.2328,4,49.189411
-1526.1813,1,49.195445
-1590.6632,7,49.200445
733.48474,60,49.211473
694.8757,60,49.217573
-723.6089,12,49.237154
919.61523,60,49.251179
1238.3606,60,49.251179
-465.5975,22,49.325403
2363.8657,60,49.368596
-2016.3347,23,49.3746
-91.361694,37,49.417267
319.64148,51,49.511569
1072.4429,60,49.5186
607.5344,60,49.525157
1276.8125,57,49.557241
-2265.279,3,49.574284
-2231.3533,4,49.601347
437.02332,60,49.660578
-2658.5527,3,49.67362
757.2708,60,49.700676
297.14764,60,49.706704
-1320.553,11,49.74293
1532.5065,60,49.755519
-1717.129,15,49.788593
540.7408,60,49.855321
889.048,60,49.860324
832.8428,60,49.863843
-690.7152,28,49.893483
838.9583,60,49.927212
-2229.685,11,49.949268
1108.6974,60,50.03818
-2429.83,7,50.075292
1197.4535,60,50.082797
761.17725,59,50.11138
-2040.8796,10,50.13348
869.5554,60,50.183634
524.6574,60,50.190641
505.49252,60,50.19666
678.2437,60,50.270464
1343.3807,60,50.295576
-1102.8752,20,50.302572
-1903.9565,8,50.337185
-836.345,3,50.357237
-670.9918,30,50.363749
481.46777,60,50.424523
857.1113,60,50.449574
-2503.45,3,50.467161
4086.0696,60,50.47267
-2481.7837,11,50.483704
167.35352,55,50.505287
-841.2118,41,50.584542
1353.3291,60,50.606607
1232.725,60,50.633695
-744.50714,8,50.676335
951.04456,60,50.698449
-1033.3271,28,50.766201
-165.12933,52,50.766201
768.53217,60,50.810775
-382.53345,41,50.822814
969.2321,60,50.830344
-884.14435,2,50.841378
855.619,60,50.853433
-1934.9606,7,50.880511
-102.13757,24,50.987322
797.8899,60,51.030538
1248.1837,60,51.045587
-698.8015,14,51.069641
-756.87836,11,51.109452
1770.5444,60,51.116498
951.755,60,51.116498
833.2904,60,51.158115
-768.938,7,51.158115
950.53467,60,51.171132
1187.6204,60,51.222776
-2970.2415,2,51.238818
-656.1378,15,51.242819
-475.82263,48,51.336134
1055.6746,60,51.369286
-529.48193,48,51.381317
-718.61523,29,51.399422
718.5557,60,51.454488
-1637.3927,17,51.469512
2152.6506,60,51.496597
529.62384,60,51.50862
-1176.3855,12,51.572795
1329.6046,60,51.587339
-1009.9495,21,51.592846
-732.7138,24,51.598366
-939.1687,15,51.598366
948.8491,60,51.688603
-785.5345,4,51.710652
716.37317,60,51.730246
-1797.785,3,51.730246
796.5887,60,51.748312
-1613.0624,3,51.748312
-895.9511,2,51.760348
-764.78735,20,51.871297
-1048.2549,22,51.871297
298.70203,60,51.914445
619.30695,60,51.9335
247.55902,59,51.941059
858.09564,60,51.941059
701.55,60,51.948095
-2462.1965,18,52.037816
-471.7558,29,52.043831
978.83453,60,52.076416
-568.5178,25,52.082924
-735.3806,33,52.136095
873.2946,60,52.215355
-495.94348,54,52.221874
-483.5715,20,52.247446
1327.4825,60,52.283072
-696.3665,9,52.333712
-1674.1211,24,52.360269
1068.7848,60,52.384742
993.92145,60,52.391352
535.495,60,52.425084
836.9017,60,52.431087
-595.8222,17,52.521917
-948.58484,25,52.564536
965.4262,60,52.569542
673.1219,60,52.586589
-242.24652,47,52.59861
-625.8137,17,54.906381
-1014.52686,23,54.979598
713.5735,60,54.979598
718.7891,60,55.00065
1296.9186,60,55.006666
-1430.9493,6,55.037267
-472.63052,48,55.106571
-308.07788,43,55.135206
1487.1365,60,55.206497
965.09644,60,55.217516
-1268.6051,33,55.22413
-1207.1382,4,55.230135
-2183.9783,1,55.237163
-700.03406,10,55.281294
964.92847,59,55.313411
2062.7737,60,55.317422
-1296.1333,17,55.331468
625.2729,60,55.33852
-1669.2598,2,55.345537
-404.83972,23,55.35304
-2305.5142,9,55.400156
961.0655,60,55.451272
536.3455,60,55.481453
735.019,60,55.61956
-2881.7812,3,55.638135
630.16174,60,55.649172
510.14627,60,55.655196
-3820.4282,5,55.678253
1732.3479,60,55.678253
798.8811,60,55.685282
-1204.5249,14,55.721358
735.83496,60,55.741427
401.25314,60,55.795155
-68.59546,56,55.801164
-1567.5361,3,55.819234
-1506.2302,35,55.856464
-602.3211,9,55.87254
-584.365,30,55.895119
598.41254,60,56.027118
815.67755,60,56.027118
817.4838,60,56.034134
1034.5648,60,56.094271
-1365.6683,14,56.115334
779.8569,60,56.191568
177.46973,57,56.238252
1618.3383,60,56.26744
763.9579,60,56.289511
923.8242,60,56.420353
949.3965,60,56.420353
-1753.311,4,56.44344
1148.8351,60,56.484646
117.023315,45,56.495678
985.38574,60,56.507703
867.94037,60,56.53529
-936.1688,25,56.58814
983.2797,60,56.610205
2185.0986,60,56.631281
583.5885,60,56.765207
981.9929,60,56.821398
629.08936,60,56.831439
190.63525,53,56.831439
1017.4394,60,56.843502
-517.229,52,56.87958
841.1623,60,56.945307
2045.1906,60,56.971356
-3572.4116,5,56.996009
1594.0436,60,57.100358
683.9133,60,57.161595
1147.6266,60,57.173631
526.3252,60,57.173631
844.57965,60,57.18866
562.0852,60,57.222778
-1045.6344,10,57.276499
2162.5317,60,57.284533
-379.45898,39,57.322704
-60.787598,58,57.32923
-794.17334,35,57.375366
-1216.3965,25,57.422605
-1403.5076,20,57.439162
-501.8676,18,57.47928
1380.458,60,57.507342
496.43384,60,57.524394
-2857.5571,17,57.524394
771.3885,60,57.536427
-777.462,9,57.567096
679.182,60,57.639327
1552.6292,60,57.679525
1368.2716,60,57.775337
1074.5447,60,57.817481
1513.0657,60,57.856571
864.4373,60,57.856571
2123.1157,60,57.8686
-1419.6165,6,57.889653
981.99,60,57.895669
-1943.7499,14,57.935879
-952.36316,12,57.967506
657.37134,60,57.973517
-996.9941,2,57.979522
-1497.2549,3,57.998569
-2198.8623,11,58.005594
1112.3558,60,58.01762
-679.7788,16,58.071258
-1908.2903,16,58.101804
1036.2325,60,58.133459
1158.5688,60,58.172574
-1229.9106,28,58.186145
-1359.3463,2,58.196173
597.72095,60,58.225281
1328.2,60,58.248352
-627.4531,20,58.343723
2272.9019,60,58.356262
1698.0941,60,58.427478
-208.66003,51,58.433512
-2802.2969,2,58.446551
726.402,60,58.459582
-405.00494,48,58.459582
1334.3777,60,58.55641
1057.2783,60,58.607133
1490.8458,60,58.69847
1324.1708,60,58.709499
-759.65356,11,58.759181
543.415,60,58.778241
-1632.5486,1,58.785273
763.0144,60,58.797299
449.8789,60,58.810322
2020.8307,60,58.810322
-1212.9318,1,58.816349
550.39197,60,58.899593
1221.6055,60,58.951246
-902.7851,29,58.970293
-811.90686,34,58.975326
-2782.1875,13,59.022542
872.5027,60,59.049131
-1973.2308,7,59.06175
-1415.9308,3,59.072773
972.04517,60,59.106461
-397.83228,37,59.111457
1370.4028,60,59.137568
660.4134,60,59.155619
-422.42798,35,59.177222
-1999.86,11,59.207324
-1325.8527,48,59.258452
-611.5454,36,59.315101
1356.28,60,59.414377
1226.4042,60,59.420387
-1272.9073,7,59.463593
794.5326,60,59.463593
-1543.3365,10,59.475626
-323.91104,53,59.486641
760.76886,60,59.513697
-979.486,1,59.519702
1183.9939,60,59.561342
-806.9259,19,59.591465
527.9339,60,59.616556
-1655.4099,2,59.628176
599.7192,60,59.674397
-952.031,6,59.704511
-454.60678,44,59.725129
-832.7255,6,59.761226
-289.8943,46,59.791308
807.24524,60,59.82098
1202.4874,60,59.84656
-957.4376,21,59.878632
-196.26367,58,59.897695
-1289.9685,2,59.909709
666.2086,60,59.94282
-1260.4082,18,59.949341
1161.9795,60,59.973419
-542.83594,21,60.00304
-1579.1382,17,60.040309
1942.712,60,60.056373
1164.8112,60,60.13424
536.4393,60,60.1613
-871.9858,35,60.200515
932.0719,60,60.252668
644.297,60,60.283762
-1859.4869,31,60.312838
1370.2667,60,60.319355
552.9359,60,60.390584
685.4489,60,60.401607
-436.3789,24,60.455312
432.78708,60,60.516529
-1167.7046,2,60.529094
2189.0906,60,60.559182
1323.2909,60,60.613831
-2292.7117,9,60.613831
1037.9407,60,60.644497
1059.9663,60,60.678588
-1239.1296,49,60.684609
-232.53668,50,60.701634
-1620.7471,13,60.724194
655.92633,60,60.818522
-267.08734,50,60.827056
-345.90146,33,60.874197
-29.933228,40,60.918294
-66.66992,43,60.956882
505.81442,60,60.969934
734.85516,60,60.969934
-778.30835,8,61.017636
1193.2255,60,61.077324
566.09766,47,61.095404
-2285.8818,6,61.113481
-548.1604,32,61.113481
-517.0089,28,61.123507
-770.31885,34,61.167598
1523.2177,60,61.176629
811.34827,60,61.224299
-536.0713,44,61.273513
-89.83136,28,61.273513
-494.9499,24,61.372897
185.72998,38,61.407519
-1316.5054,12,61.441122
1898.3645,60,61.447144
414.0578,60,61.461165
1272.6725,60,61.472693
-2911.671,8,61.48624
2961.5332,60,61.518307
-607.1641,24,61.544418
-1867.9122,4,61.544418
-178.0476,49,61.561551
723.99725,60,61.629277
1954.1975,60,61.800179
805.7441,60,61.822758
1574.4944,60,61.835322
2219.5342,60,61.84936
717.9083,60,61.910582
2037.2284,60,61.910582
2393.9468,60,61.934198
1006.68713,60,62.002643
-806.0932,19,62.037262
-1249.3533,15,62.099541
1953.5989,60,62.187422
1683.518,60,62.207521
407.78357,60,62.221045
2109.7412,60,62.233603
-1243.0688,6,62.262576
-800.6554,8,62.262576
894.29016,60,62.302721
981.46326,60,62.3228
1062.2806,60,62.421174
-662.07715,25,62.421174
763.743,60,62.478524
-155.71436,33,62.519651
2351.5413,60,62.559319
637.016,60,62.598502
688.071,60,62.622591
1201.6951,60,62.657192
-279.70148,33,62.711319
1063.4994,60,62.771104
589.135,60,62.771104
498.4088,50,62.771104
-997.7501,1,62.776131
-1020.98,3,62.785166
152.27386,52,62.864459
1840.4911,60,62.954274
-825.32983,1,62.961281
2383.047,60,62.97934
686.9559,60,63.014564
-797.3048,9,63.031129
1160.9768,60,63.066269
-3691.484,9,63.082813
709.484,60,63.125482
864.42456,60,63.131481
1218.2761,60,63.143581
-765.34344,12,63.212825
881.434,60,63.219257
-850.00946,21,63.249341
-574.9807,32,63.256392
1048.9177,60,63.310591
1159.1357,60,63.363832
-2083.8086,22,63.375376
-2349.6694,4,63.387426
-772.4669,28,63.41663
1024.3038,60,63.434201
987.3404,60,63.482815
-1032.803,6,63.51844
476.64215,60,63.567591
1574.9834,60,63.574607
-1831.9113,3,63.591633
-1161.8505,37,63.639315
96.783325,56,63.644716
-1639.6984,6,63.682954
1195.1523,60,63.730158
1251.121,60,63.741191
767.1456,60,63.781305
515.11804,60,63.865105
1129.5525,60,63.911201
707.9062,60,63.936316
1020.5208,60,63.980536
417.85175,60,64.02265
1837.0072,60,64.075305
657.87695,60,64.087339
-1090.2144,32,64.123459
597.2099,60,64.135512
498.89252,47,64.186627
517.2854,58,64.203653
-809.0809,22,64.215679
-1499.3994,14,64.289537
615.0154,60,64.328181
445.2938,60,64.368295
-830.7906,3,64.38637
-386.4285,51,64.414559
913.4054,60,64.421005
870.0752,60,64.480183
1442.0448,60,64.529854
-2387.7915,22,64.541887
-1363.6802,1,64.548404
527.6372,60,64.563028
-168.62158,57,64.614694
-223.5238,34,64.621205
741.95276,60,64.676097
-2854.7683,3,64.694217
1094.8286,60,64.734818
-111.569824,47,64.79953
1205.8221,60,64.823634
-1280.843,5,64.830642
748.4241,60,64.891784
1924.4868,60,64.89781
639.8931,60,64.943482
1160.7542,60,64.948498
-614.96606,14,64.958537
1551.6266,60,65.021163
1997.6334,60,65.058333
761.3887,60,65.147148
1238.3867,60,65.154172
786.6452,60,65.228894
2154.5361,60,65.278177
1444.1271,60,65.284196
836.66345,60,65.295237
-2367.1746,7,65.323812
644.2468,60,65.357897
-656.7952,16,65.370429
-1859.7299,18,65.399547
1500.1256,60,65.399547
1597.9127,60,65.48328
1539.0765,60,65.489795
-382.76147,25,65.507824
1758.2211,60,65.567112
-894.9385,16,65.656396
1278.5137,60,65.662901
-660.86115,47,65.662901
-2408.9778,3,65.679457
-798.8526,2,65.692519
432.57672,60,65.69754
-1093.5507,5,65.723638
1919.7446,60,65.735177
468.5497,60,65.828458
1149.3922,60,65.834495
-1583.0634,3,65.851541
623.03424,60,65.851541
2.4506836,41,65.894661
-321.8393,41,65.971412
698.6133,60,66.006607
1058.418,60,66.036212
443.72968,60,66.062789
-2581.3574,4,66.085459
-430.92572,21,66.085459
1151.3853,60,66.157194
1077.8652,60,66.179259
1488.5392,60,66.180258
736.4549,60,66.218363
-562.1639,47,66.260474
-1518.4292,9,66.315662
-1227.7145,18,66.326189
-244.61078,54,66.332693
-15.019043,57,66.405439
902.1941,60,66.426809
-433.1726,42,66.426809
-941.7229,25,66.469934
2373.6516,60,66.503554
2275.7192,60,66.530122
-1236.03,11,66.58931
712.2147,60,66.648481
-584.98816,58,66.659508
2253.736,60,66.737242
2386.6382,60,66.754285
1930.96,60,66.754285
504.15652,60,66.804509
808.0339,60,69.111401
-1303.3264,14,69.183702
965.7957,60,69.189717
-155.03137,38,69.240356
685.6356,60,69.257425
924.2976,60,69.263447
-1729.6425,4,69.263447
-2449.1282,5,69.286082
829.5536,60,69.35287
526.6875,60,69.372846
-496.20392,15,69.379377
-423.22455,20,69.385407
1029.618,60,69.419999
-1118.4287,2,69.436538
-653.5801,14,69.466599
-743.2129,9,69.491647
-496.58398,23,69.49666
-715.1577,21,69.503163
-1500.2466,2,69.514696
-321.80463,23,69.527233
1607.6545,60,69.549286
2346.833,60,69.556312
-712.0697,13,69.570331
-804.5193,2,69.581451
-1125.328,13,69.594523
-732.81055,15,69.617583
1249.7828,60,69.63113
-1263.5415,9,69.648191
966.78784,60,69.810354
723.27637,60,69.840474
672.9629,60,69.889152
908.6765,60,69.895186
1314.3785,60,69.926372
-562.47095,20,69.933411
1499.9205,60,69.963524
823.2419,60,69.974558
850.99164,60,69.996601
207.59045,38,70.114462
-378.52783,48,70.125546
-3057.304,5,70.141102
829.4693,60,70.236418
571.1322,60,70.263535
1017.85626,60,70.27005
-583.3269,27,70.287115
891.83417,60,70.300149
1174.8914,60,70.376897
540.1387,60,70.395461
-2135.8157,3,70.413595
156.53998,41,70.420115
-2029.1863,4,70.439177
-721.8174,27,70.461215
-418.89996,30,70.511363
-395.10428,38,70.5656
1238.0629,60,70.714451
1624.7369,60,70.724489
938.3683,60,70.737057
-344.5736,50,70.761113
1276.6189,60,70.779165
916.3982,60,70.796217
-3134.8728,5,70.814261
-3757.9167,4,70.838834
-1707.5625,3,70.854874
689.3147,60,70.873449
-709.44916,23,70.90062
866.59296,60,70.925217
-2367.0623,1,70.931215
1005.6186,60,71.059744
1965.4243,60,71.06977
1480.6849,60,71.082802
775.88416,60,71.141462
2172.8433,60,71.195168
-618.9885,54,71.207191
2347.5115,60,71.213707
-1090.3407,16,71.237796
-1416.6007,11,71.258833
637.25793,60,71.271378
-479.6533,33,71.406867
776.0286,60,71.41388
1087.5743,60,71.426457
1312.6389,60,71.437485
-440.1224,35,71.460552
-1432.1129,8,71.481594
1284.3815,60,71.560524
-1002.24713,26,71.560524
909.38574,60,71.587106
933.3827,60,71.618202
-437.667,36,71.631745
-1288.8927,2,71.643769
67.31201,37,71.674804
-1315.4188,2,71.690864
3978.1423,60,71.763133
1831.2761,60,71.829861
-775.9955,24,71.829861
-1589.5856,9,71.883564
-644.9221,13,71.901602
1028.3376,60,71.901602
1264.1316,60,71.901602
559.41174,60,71.929195
1820.4269,60,71.966317
-961.8029,15,71.966317
646.73224,60,71.990412
-885.80316,7,72.035667
1243.3142,60,72.106815
833.94006,60,72.25335
855.1664,60,72.25335
1209.0966,60,72.25335
-1060.1626,2,72.265882
655.54895,60,72.285453
1049.9244,60,72.322554
715.33154,60,72.322554
-1348.7533,13,72.332582
-1933.5828,2,72.34812
2952.2043,60,72.390251
1213.2789,60,72.463541
-1480.3896,10,72.515237
-306.85144,44,72.577398
572.21936,60,72.607541
520.7434,60,72.621077
1001.0143,60,72.638133
2343.89,60,72.672717
645.1718,60,72.701298
-328.6338,31,72.707327
678.7811,60,72.742946
-411.46475,44,72.844691
-534.1639,36,72.889788
-1220.4962,1,72.896807
-764.0626,39,72.93447
-1709.7983,18,72.953537
68.13342,55,72.973593
847.1055,60,72.973593
936.31134,60,72.986625
199.2857,48,73.033719
-459.09497,17,73.040233
998.42944,60,73.069324
-2118.0515,21,73.09945
-1579.9172,3,73.11553
-404.46097,37,73.25188
1342.4297,60,73.25188
733.19244,60,73.306587
540.61414,60,73.325164
482.85913,60,73.337189
-323.5634,57,73.370269
-1689.4265,7,73.383829
-818.1179,3,73.402892
1466.8439,60,73.427519
628.6804,60,73.477673
-979.7339,17,73.531264
-993.3968,1,73.539293
-3304.8118,11,73.613563
940.94165,60,73.635165
1846.0653,60,73.635165
-1138.2141,7,73.68281
-1822.509,7,73.68281
303.98547,49,73.689334
765.8929,60,73.695365
-1834.3832,3,73.716444
778.2472,60,73.716444
732.4878,60,73.787094
-1179.5352,23,73.821671
2054.9436,60,73.857314
976.2941,60,73.978337
885.42316,60,74.038153
1529.8835,60,74.04518
-2393.0876,5,74.07025
939.25696,60,74.07025
1346.2104,60,74.07025
-1857.3276,15,74.133468
1166.0524,60,74.13748
954.1208,60,74.172566
-728.5095,11,74.196628
919.75055,60,74.208178
513.3934,60,74.334273
-917.9564,5,74.369452
502.11328,60,74.4292
403.90842,60,74.4292
800.84607,60,74.4292
-127.57501,47,74.461285
-2321.9148,5,74.485357
1418.6447,60,74.49838
602.38336,60,74.554095
676.2645,60,74.570123
-799.3126,4,74.582662
-1325.7449,26,74.582662
1288.1918,60,74.726295
